epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
66,2759.36,1.14166,0.77877,0.00932,0.87734,0.87284,0.92037,0.6143,1.27422,0.69596,0.01465,0.003565,0.003565,0.003565
67,2800.88,1.14324,0.77081,0.009,0.87504,0.89077,0.92367,0.61447,1.29121,0.69457,0.01482,0.003466,0.003466,0.003466
68,2842.49,1.14742,0.76869,0.0092,0.87765,0.87286,0.92066,0.61352,1.2823,0.69245,0.01484,0.003367,0.003367,0.003367
69,2884.02,1.14,0.75978,0.00923,0.89081,0.87215,0.92732,0.61949,1.26909,0.70775,0.01465,0.003268,0.003268,0.003268
70,2925.67,1.1195,0.73168,0.00898,0.86016,0.88357,0.92156,0.61321,1.289,0.70168,0.01482,0.003169,0.003169,0.003169
71,2967.3,1.11555,0.72883,0.00893,0.88513,0.87442,0.92553,0.60787,1.29516,0.68783,0.01495,0.00307,0.00307,0.00307
72,3008.96,1.1126,0.73025,0.00903,0.85241,0.88887,0.92408,0.61599,1.27212,0.70212,0.01461,0.002971,0.002971,0.002971
73,3050.63,1.11706,0.7412,0.00885,0.90814,0.89578,0.93939,0.62466,1.27405,0.65494,0.01454,0.002872,0.002872,0.002872
74,3092.41,1.10556,0.7214,0.00882,0.88996,0.88727,0.93292,0.62273,1.28593,0.66593,0.01463,0.002773,0.002773,0.002773
75,3134.06,1.11917,0.71991,0.00889,0.89689,0.88818,0.93144,0.62431,1.27391,0.6538,0.01441,0.002674,0.002674,0.002674
76,3175.68,1.08117,0.69971,0.00859,0.86509,0.89034,0.92796,0.61866,1.26914,0.67442,0.01452,0.002575,0.002575,0.002575
77,3217.46,1.09428,0.70365,0.00871,0.90403,0.88314,0.93493,0.61941,1.28103,0.64907,0.01469,0.002476,0.002476,0.002476
78,3259.13,1.09799,0.70341,0.00892,0.88794,0.9011,0.93803,0.62647,1.25884,0.65658,0.01432,0.002377,0.002377,0.002377
79,3300.96,1.08648,0.70057,0.0087,0.88625,0.89184,0.93041,0.62087,1.28815,0.6767,0.01478,0.002278,0.002278,0.002278
80,3342.81,1.08029,0.71338,0.00863,0.89406,0.89743,0.93028,0.623,1.26866,0.65492,0.01445,0.002179,0.002179,0.002179
81,3384.77,1.08113,0.69079,0.00868,0.89109,0.8925,0.93194,0.6228,1.25806,0.66254,0.01426,0.00208,0.00208,0.00208
82,3426.8,1.06936,0.69522,0.0084,0.89048,0.88188,0.92671,0.62105,1.28365,0.6625,0.01461,0.001981,0.001981,0.001981
83,3468.69,1.07177,0.6932,0.00838,0.92178,0.86943,0.93598,0.62295,1.29014,0.66595,0.01471,0.001882,0.001882,0.001882
84,3510.61,1.06605,0.66145,0.00854,0.89927,0.88872,0.93467,0.62562,1.27483,0.65585,0.01453,0.001783,0.001783,0.001783
85,3552.52,1.06864,0.66222,0.00839,0.89982,0.89177,0.93274,0.61953,1.27699,0.66167,0.01452,0.001684,0.001684,0.001684
