epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
88,3679.4,1.03836,0.65167,0.00833,0.86745,0.87276,0.91734,0.58643,1.29377,0.65063,0.01465,0.001387,0.001387,0.001387
89,3721.21,1.03886,0.63,0.00792,0.85302,0.87811,0.91153,0.58086,1.30992,0.64937,0.01477,0.001288,0.001288,0.001288
90,3762.9,1.02858,0.62971,0.00793,0.84414,0.8788,0.90284,0.58278,1.30256,0.6452,0.01476,0.001189,0.001189,0.001189
91,3805.46,0.92918,0.41736,0.00862,0.87037,0.87316,0.91696,0.58919,1.30138,0.65333,0.01466,0.00109,0.00109,0.00109
92,3846.86,0.92473,0.4038,0.00861,0.9011,0.86181,0.92423,0.59236,1.31134,0.63842,0.01477,0.000991,0.000991,0.000991
93,3888.43,0.9194,0.39553,0.00851,0.88369,0.88514,0.91953,0.59492,1.29041,0.65651,0.01453,0.000892,0.000892,0.000892
94,3929.96,0.90118,0.38522,0.00825,0.85479,0.8938,0.90844,0.58525,1.2955,0.64818,0.01456,0.000793,0.000793,0.000793
95,3971.56,0.90537,0.39091,0.00846,0.86842,0.89241,0.91096,0.58726,1.29623,0.66492,0.01456,0.000694,0.000694,0.000694
96,4013.06,0.89596,0.37435,0.00844,0.89126,0.84472,0.91497,0.59237,1.2983,0.64485,0.01456,0.000595,0.000595,0.000595
97,4054.43,0.89339,0.37855,0.00832,0.89953,0.85065,0.91884,0.59023,1.29837,0.65583,0.01462,0.000496,0.000496,0.000496
98,4095.88,0.88656,0.379,0.00812,0.84949,0.89572,0.91375,0.59013,1.29627,0.66136,0.01455,0.000397,0.000397,0.000397
99,4137.19,0.89269,0.37151,0.00825,0.84239,0.89837,0.91505,0.59064,1.29848,0.64837,0.01457,0.000298,0.000298,0.000298
100,4178.7,0.88996,0.36829,0.00831,0.84817,0.88593,0.91355,0.59144,1.29738,0.64132,0.01457,0.000199,0.000199,0.000199
