epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2714.23,1.03956,0.74539,1.1578,0.84999,0.87899,0.91042,0.61962,1.20025,0.7751,1.32808,0.002377,0.002377,0.002377
79,2748.52,1.02566,0.74289,1.15187,0.8769,0.88013,0.93048,0.62512,1.21483,0.77502,1.33635,0.002278,0.002278,0.002278
80,2782.79,1.01398,0.73853,1.14354,0.85124,0.87685,0.91395,0.62227,1.19731,0.78175,1.33078,0.002179,0.002179,0.002179
81,2817.05,1.0177,0.72491,1.14419,0.88605,0.87715,0.92851,0.62121,1.22684,0.75779,1.33129,0.00208,0.00208,0.00208
82,2851.38,1.01263,0.72565,1.14072,0.8561,0.86835,0.92221,0.6201,1.21091,0.77225,1.33531,0.001981,0.001981,0.001981
83,2885.61,1.00319,0.71679,1.12884,0.85213,0.88617,0.92534,0.61983,1.2164,0.7637,1.33799,0.001882,0.001882,0.001882
84,2919.8,1.0057,0.70065,1.13788,0.86251,0.88714,0.92478,0.62333,1.21284,0.75108,1.33143,0.001783,0.001783,0.001783
85,2953.97,1.00835,0.71013,1.13645,0.85373,0.87567,0.9228,0.62094,1.22322,0.76468,1.35222,0.001684,0.001684,0.001684
86,2988.13,0.996,0.70088,1.13114,0.85935,0.88202,0.92331,0.62373,1.20598,0.74901,1.32654,0.001585,0.001585,0.001585
87,3022.3,0.99684,0.70384,1.13241,0.86528,0.87752,0.92644,0.62009,1.20278,0.74725,1.33177,0.001486,0.001486,0.001486
88,3056.61,0.99916,0.70512,1.13603,0.8677,0.88665,0.93066,0.62743,1.21625,0.74175,1.33516,0.001387,0.001387,0.001387
89,3090.96,0.98557,0.68855,1.12262,0.87816,0.89024,0.9335,0.63195,1.21546,0.74082,1.33119,0.001288,0.001288,0.001288
90,3125.25,0.982,0.68885,1.1225,0.87511,0.89279,0.93406,0.62661,1.22026,0.73267,1.34397,0.001189,0.001189,0.001189
91,3160.52,0.91406,0.55837,1.10428,0.86455,0.87649,0.92796,0.62227,1.22844,0.75611,1.34826,0.00109,0.00109,0.00109
92,3194.6,0.90302,0.5455,1.1027,0.87724,0.87745,0.92498,0.61972,1.21448,0.73551,1.33593,0.000991,0.000991,0.000991
93,3228.6,0.89701,0.53479,1.09555,0.86171,0.89615,0.92676,0.6172,1.22158,0.73644,1.33968,0.000892,0.000892,0.000892
94,3262.62,0.88485,0.52659,1.08574,0.84776,0.89412,0.92169,0.62109,1.21607,0.73407,1.33423,0.000793,0.000793,0.000793
95,3296.62,0.87781,0.51576,1.08909,0.8461,0.88959,0.92149,0.61902,1.21935,0.73075,1.34404,0.000694,0.000694,0.000694
96,3330.7,0.87546,0.51894,1.08692,0.87161,0.89653,0.9275,0.61918,1.22445,0.73158,1.34942,0.000595,0.000595,0.000595
97,3364.76,0.87209,0.51173,1.08418,0.85982,0.89658,0.92445,0.61843,1.23431,0.72446,1.35845,0.000496,0.000496,0.000496
98,3398.86,0.86582,0.50668,1.07713,0.86541,0.89547,0.92323,0.61193,1.23606,0.72952,1.35783,0.000397,0.000397,0.000397
99,3432.89,0.85975,0.50716,1.07943,0.87039,0.90341,0.92791,0.61978,1.23514,0.72442,1.35708,0.000298,0.000298,0.000298
100,3466.99,0.86008,0.50641,1.07914,0.87095,0.89656,0.92758,0.6211,1.22876,0.72143,1.35178,0.000199,0.000199,0.000199
