epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3030.1,1.0402,0.78529,1.29819,0.82901,0.87158,0.91406,0.61525,1.16149,0.80557,1.53075,0.003565,0.003565,0.003565
67,3075.5,1.04089,0.77745,1.28678,0.85502,0.88452,0.9228,0.62344,1.16676,0.79645,1.52364,0.003466,0.003466,0.003466
68,3120.83,1.03429,0.77865,1.29162,0.86308,0.88502,0.91896,0.62392,1.16037,0.79656,1.52448,0.003367,0.003367,0.003367
69,3166.18,1.03389,0.76917,1.28798,0.84168,0.88218,0.9195,0.62608,1.17415,0.80192,1.53731,0.003268,0.003268,0.003268
70,3212.17,1.01502,0.74928,1.2797,0.85104,0.88877,0.92679,0.63112,1.15686,0.78041,1.52037,0.003169,0.003169,0.003169
71,3257.7,1.01946,0.74283,1.27514,0.85877,0.88134,0.92512,0.63067,1.15762,0.81015,1.51424,0.00307,0.00307,0.00307
72,3303.29,1.01358,0.73442,1.27262,0.85135,0.87326,0.92303,0.63351,1.17096,0.79133,1.51987,0.002971,0.002971,0.002971
73,3348.8,1.02694,0.75657,1.27302,0.84591,0.88635,0.9179,0.6259,1.15378,0.78981,1.50482,0.002872,0.002872,0.002872
74,3394.35,1.00918,0.72814,1.2635,0.87182,0.87717,0.92663,0.62544,1.17764,0.79725,1.5172,0.002773,0.002773,0.002773
75,3439.7,1.01653,0.72768,1.27007,0.86691,0.88102,0.92505,0.62619,1.17682,0.79395,1.5196,0.002674,0.002674,0.002674
76,3485.23,1.01167,0.71519,1.26406,0.86782,0.88052,0.92428,0.63015,1.15898,0.76454,1.51765,0.002575,0.002575,0.002575
77,3530.82,0.9952,0.71446,1.25818,0.86229,0.89135,0.93107,0.63833,1.16031,0.76547,1.50963,0.002476,0.002476,0.002476
78,3576.37,1.00701,0.71249,1.27495,0.87321,0.89632,0.93208,0.63684,1.15788,0.73634,1.50735,0.002377,0.002377,0.002377
79,3621.98,0.99579,0.72238,1.25765,0.85491,0.89617,0.92673,0.63362,1.17026,0.76078,1.51437,0.002278,0.002278,0.002278
80,3667.73,0.98889,0.71277,1.25133,0.86961,0.89432,0.92949,0.63638,1.16054,0.76288,1.51019,0.002179,0.002179,0.002179
81,3713.24,0.99064,0.7019,1.25892,0.87926,0.89706,0.93241,0.6315,1.17919,0.74092,1.52646,0.00208,0.00208,0.00208
82,3758.72,0.98901,0.69882,1.2505,0.8618,0.88695,0.92204,0.6274,1.1591,0.78347,1.51518,0.001981,0.001981,0.001981
83,3804.18,0.97753,0.68958,1.23953,0.86341,0.87815,0.92727,0.63408,1.18318,0.75038,1.5367,0.001882,0.001882,0.001882
84,3849.68,0.9774,0.67682,1.25077,0.88528,0.88973,0.93,0.63286,1.1809,0.76132,1.51859,0.001783,0.001783,0.001783
85,3895.16,0.97902,0.67884,1.241,0.88237,0.88304,0.93464,0.63399,1.1636,0.7364,1.52651,0.001684,0.001684,0.001684
86,3940.65,0.96284,0.67747,1.23579,0.8838,0.88934,0.93636,0.63528,1.1901,0.74853,1.53272,0.001585,0.001585,0.001585
